   , 0
 A  , 0
 ABANDON  , 2.83321334405622
 ABANDOND  , 1.44691898293633
 ABANDONED  , 2.83321334405622
 ABANDONWHICH  , 2.83321334405622
 ABASHD  , 2.83321334405622
 ABATE  , 1.22377543162212
 ABATEMENT  , 2.14006616349627
 ABATES  , 2.83321334405622
 ABBESS  , 2.83321334405622
 ABBEY  , 2.14006616349627
 ABBEYGATE  , 2.83321334405622
 ABBEYWALL  , 2.83321334405622
 ABBEYWALLS  , 2.83321334405622
 ABBOMINABLE  , 2.83321334405622
 ABBREVIATED  , 2.83321334405622
 ABED  , 1.44691898293633
 ABETTING  , 2.83321334405622
 ABHOMINABLEWHICH  , 2.83321334405622
 ABHOR  , 0.887303195000903
 ABHORRD  , 1.22377543162212
 ABHORRED  , 1.73460105538811
 ABHORS  , 2.14006616349627
 ABHORSON  , 2.83321334405622
 ABIDE  , 0.635988766719997
 ABIDES  , 2.14006616349627
 ABILITIES  , 2.83321334405622
 ABILITY  , 1.22377543162212
 ABILITYS  , 2.83321334405622
 ABIRDING  , 2.83321334405622
 ABJECT  , 1.44691898293633
 ABJURE  , 2.14006616349627
 ABJURED  , 2.14006616349627
 ABLE  , 0.348306694268216
 ABLEEDING  , 2.83321334405622
 ABOARD  , 0.75377180237638
 ABODE  , 1.44691898293633
 ABOMINABLE  , 1.04145387482816
 ABORTIVE  , 2.83321334405622
 ABOUND  , 2.14006616349627
 ABOUT  , 0
 ABOVE  , 0.0606246218164348
 ABRAHAM  , 2.83321334405622
 ABRAM  , 2.83321334405622
 ABREAST  , 2.83321334405622
 ABREEDING  , 2.83321334405622
 ABREWING  , 2.83321334405622
 ABRIDGE  , 2.83321334405622
 ABRIDGED  , 2.83321334405622
 ABRIDGEMENT  , 2.14006616349627
 ABROAD  , 0.635988766719997
 ABROGATE  , 2.83321334405622
 ABRUPTION  , 2.83321334405622
 ABRUPTLY  , 2.83321334405622
 ABSENCE  , 0.268263986594679
 ABSENT  , 0.75377180237638
 ABSENTAND  , 2.83321334405622
 ABSOLUTE  , 1.22377543162212
 ABSOLUTELY  , 2.83321334405622
 ABSTEMIOUS  , 2.83321334405622
 ABSTINENCE  , 2.14006616349627
 ABSTRACT  , 2.14006616349627
 ABUNDANCE  , 1.44691898293633
 ABUNDANT  , 2.83321334405622
 ABUSE  , 0.75377180237638
 ABUSED  , 0.348306694268216
 ABUSEIF  , 2.83321334405622
 ABUSES  , 2.14006616349627
 ABUSING  , 2.83321334405622
 ABUTS  , 2.83321334405622
 ABY  , 2.83321334405622
 ABYSM  , 2.83321334405622
 ACADEME  , 2.83321334405622
 ACADEMES  , 2.83321334405622
 ACCENT  , 1.22377543162212
 ACCEPT  , 1.22377543162212
 ACCEPTANCE  , 2.14006616349627
 ACCEPTED  , 2.14006616349627
 ACCESS  , 0.887303195000903
 ACCESSARY  , 2.83321334405622
 ACCESSIBLE  , 2.83321334405622
 ACCIDENCE  , 2.83321334405622
 ACCIDENT  , 0.75377180237638
 ACCIDENTAL  , 2.83321334405622
 ACCIDENTALLY  , 2.14006616349627
 ACCIDENTS  , 1.73460105538811
 ACCOMMODATED  , 2.83321334405622
 ACCOMMODATIONS  , 2.83321334405622
 ACCOMPANY  , 1.73460105538811
 ACCOMPLISHD  , 2.14006616349627
 ACCOMPLISHED  , 1.22377543162212
 ACCOMPT  , 2.14006616349627
 ACCORD  , 1.44691898293633
 ACCORDANT  , 2.83321334405622
 ACCORDING  , 0.435318071257845
 ACCORDINGLY  , 1.44691898293633
 ACCORDS  , 2.14006616349627
 ACCOST  , 2.83321334405622
 ACCOSTED  , 2.83321334405622
 ACCOSTING  , 2.83321334405622
 ACCOUNT  , 1.04145387482816
 ACCOUNTANT  , 2.83321334405622
 ACCOUNTED  , 1.73460105538811
 ACCOUNTS  , 2.83321334405622
